,Food Name,Food Manufacturer,GI,Standard Serve Size,Carbohydrate per Serve,Glycemic Load,Country,Product Category,Year of Test,SEM,Time Period of Test,Number of Subjects in Test,Type of Subjects in Test,Source
95,"Glucose, 50 g portion","Bio-Health, Dawson Traders Ltd.,Toronto, Canada",96,10,10,10,Canada,"Sugars, Sweeteners and Syrups",1998,,2h,8,Normal,"Lee BM, Wolever TMS. Effect of glucose, sucrose and fructose on plasma glucose and insulin responses in normal humans: comparison with white bread.  Euro J Clin Nutr 1998; 52: 924-8."
96,"Glucose, 50 g portion",,100,10,10,10,Canada,"Sugars, Sweeteners and Syrups",1981,,2h,35,Normal,"Jenkins DJA, Wolever TMS, Taylor RH, Barker H, Fielden H, Baldwin JM, Bowling AC, Newman HC, Jenkins AL, Goff DV. Glycemic index of foods: a physiological basis for carbohydrate exchange. Am J Clin Nutr 1981; 34: 362-6."
97,"Glucose, 50 g portion, Glucodin™ glucose tablets","Boots, North Ryde, NSW, Australia",102,10,10,10,Australia,"Sugars, Sweeteners and Syrups",1995,9,2h,7,Normal,"Brand-Miller J, Pang E, Broomhead L. The glycaemic index of foods containing sugars: comparison of foods with naturally-occurring v. added sugars. Br J Nutr 1995; 73: 613-23."
98,"Glucose, 50 g portion (dextrose)",,111,10,10,11,,"Sugars, Sweeteners and Syrups",1981,,2h,6,Normal,"Dilawari JB, Kamath PS, Batta RP, Mukewar S, Raghavan S. Reduction of postprandial plasma glucose by Bengal gram dhal (Cicer arietinum) and Rajmah (Phaseolus vulgaris). Am J Clin Nutr 1981; 34: 2450-3."
99,"Glucose, 25 g portion","Bio-Health, Canada",103,10,10,10,Canada,"Sugars, Sweeteners and Syrups",1998,,2h,8,Normal,"Lee BM, Wolever TMS. Effect of glucose, sucrose and fructose on plasma glucose and insulin responses in normal humans: comparison with white bread.  Euro J Clin Nutr 1998; 52: 924-8."
100,"Glucose, 100 g portion","Bio-Health, Canada",114,10,10,11,Canada,"Sugars, Sweeteners and Syrups",1998,,2h,8,Normal,"Lee BM, Wolever TMS. Effect of glucose, sucrose and fructose on plasma glucose and insulin responses in normal humans: comparison with white bread.  Euro J Clin Nutr 1998; 52: 924-8."
101,"Glucose, 25 g portion (Glucodex), consumed 40 min before 3 g American dried ginseng (Panax quinquefolius L.)",,76,10,10,8,,"Sugars, Sweeteners and Syrups",2000,,1.5h,10,Normal,"Vuksan V, Sievenpiper JL, Koo VYY, et al. American ginseng (Panax quinqefolius L.) reduces postprandial glycemia in nondiabetic subjects and subjects with type 2 diabetes. Arch Intern Med 2000; 160: 1009-13."
102,"Glucose, 50 g portion, consumed with 14.5 g guar gum",,62,10,10,6,,"Sugars, Sweeteners and Syrups",1991,,2h,10,Normal,"Braaten JT, Wood PJ, Scott FW, Riedel KD, Poste LM, Collins MW. Oat gum lowers glucose and insulin after an oral glucose load.  Am J Clin Nutr 1991; 53: 1425-30."
103,"Glucose, 75 g portion, consumed with 4.24 g salt",,86,10,10,9,Nigeria,"Sugars, Sweeteners and Syrups",1989,,3h,10,Normal,"Akanji AO, Charles-Davies MA, Ezenwaka C, Abbiyesuku FA, Osotimehin BO.  Dietary salt and the glycaemic response to meals of different fibre content.  Euro J Clin Nutr 1989; 43: 699-703."
104,"Glucose, 100 g portion, consumed with 20 g acacia gum",,85,10,10,9,,"Sugars, Sweeteners and Syrups",1985,,2.5h,12,Normal,Sharma RD. Hypoglycemic effect of gum acacia in healthy human subjects.  Nutr Res 1985; 5: 1437-41.
105,"Honey, Pure","Capilano Honey Ltd., Richlands, Qld, Australia",58,25,21,12,Australia,"Sugars, Sweeteners and Syrups",1995,6,2h,8,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
106,"Honey, Yellow box (46% fructose)",,35,25,18,6,Australia,"Sugars, Sweeteners and Syrups",1995,4,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
107,"Honey, Stringy Bark (52% fructose) ",,44,25,21,9,Australia,"Sugars, Sweeteners and Syrups",1995,4,2h,9,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
108,"Honey, Red Gum (35% fructose) ",,46,25,18,8,Australia,"Sugars, Sweeteners and Syrups",1995,3,2h,9,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
109,"Honey, Iron Bark (34% fructose)",,48,25,15,7,Australia,"Sugars, Sweeteners and Syrups",1995,3,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
110,"Capilano Premium Honey, blend of eucalypt & floral honeys","Capilano Honey Limited, QLD, Australia",51,25,21,11,Australia,"Sugars, Sweeteners and Syrups",1995,3,2h,11,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
111,"Honey, Yapunya (42 % fructose)",,52,25,17,9,Australia,"Sugars, Sweeteners and Syrups",1995,5,2h,9,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
112,Leabrook Farms Yellow Box honey,"Spring Gully Foods Pty Ltd, SA, Australia",60,25,21,13,Australia,"Sugars, Sweeteners and Syrups",1995,4,2h,11,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
113,"Honey, Commercial Blend (38% fructose), WA blend","Capilano Honey Ltd., Australia",62,25,18,11,Australia,"Sugars, Sweeteners and Syrups",1995,3,2h,9,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
114,"Honey, Salvation Jane (32% fructose) ",,64,25,15,10,Australia,"Sugars, Sweeteners and Syrups",1995,5,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
115,"Clover honey, ratio of fructose: glucose, 1.09","Vazza Farms, Hermiston, OR, USA",69,25,21,15,USA,"Sugars, Sweeteners and Syrups",2006,8,2h,12,Normal,"Ischayek JI, Kern M. US honeys varying in glucose and fructose content elicit similar glycemic indexes. J Am Diet Assoc 2006; 106: 1260-2."
116,"Honey, Commercial Blend (28% fructose), NSW blend","Capilano Honey Ltd., Australia",72,25,13,9,Australia,"Sugars, Sweeteners and Syrups",1995,6,2h,9,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
117,"Buckwheat honey, ratio of fructose:glucose, 1.12","Vazza Farms, USA",73,25,21,16,USA,"Sugars, Sweeteners and Syrups",2006,6,2h,11,Normal,"Ischayek JI, Kern M. US honeys varying in glucose and fructose content elicit similar glycemic indexes. J Am Diet Assoc 2006; 106: 1260-2."
118,"Cotton honey, ratio of fructose:glucose, 1.03","Gene Brandi Apiaries, Los Banos, CA, USA",74,25,22,16,USA,"Sugars, Sweeteners and Syrups",2006,7,2h,11,Normal,"Ischayek JI, Kern M. US honeys varying in glucose and fructose content elicit similar glycemic indexes. J Am Diet Assoc 2006; 106: 1260-2."
119,"Honey, type not specified",,74,25,21,16,China,"Sugars, Sweeteners and Syrups",2006,4,2h,10,Normal,"Yang YX, Wang HW, Cui HM, Wang Y, Y LD, Xiang SX, Zhou SY. Glycemic index of cereals and tubers produced in China. World J Gastroenterol 2006; 12(21): 3430-3."
120,"Tupelo honey, ratio of fructose:glucose, 1.54","Tropical Blossom Honey Co, Edgewater, FL, USA",74,25,21,16,USA,"Sugars, Sweeteners and Syrups",2006,8,2h,12,Normal,"Ischayek JI, Kern M. US honeys varying in glucose and fructose content elicit similar glycemic indexes. J Am Diet Assoc 2006; 106: 1260-2."
121,"Honey, type not specified",,87,25,21,18,Canada,"Sugars, Sweeteners and Syrups",1981,8,2h,6,Normal,"Jenkins DJA, Wolever TMS, Taylor RH, Barker H, Fielden H, Baldwin JM, Bowling AC, Newman HC, Jenkins AL, Goff DV. Glycemic index of foods: a physiological basis for carbohydrate exchange. Am J Clin Nutr 1981; 34: 362-6."
122,"Mango (Mangifera indica), raw",,51,120,15,8,Australia,Fruit and Fruit products,1995,3,2h,7,Normal,"Brand-Miller J, Pang E, Broomhead L. The glycaemic index of foods containing sugars: comparison of foods with naturally-occurring v. added sugars. Br J Nutr 1995; 73: 613-23."
123,"Mango (Mangifera indica), raw ",,41,120,20,8,Philippines,Fruit and Fruit products,2000,,3h,10,Type 2,"Guevarra MTB, Panlasigui LN.  Blood glucose responses of diabetes mellitus type II patients to some local fruits.  Asia Pacific J Clin Nutr 2000; 9(4): 303-8."
124,"Mango, ripe (Mangifera indica), raw ",,60,120,15,9,India,Fruit and Fruit products,1992,16,3h,12-15,Normal,"Kurup PG, Krishnamurthy S. Glycemic Index of Selected Foodstuffs commonly used in South India. Int J Vit Nutr Res 1992; 62: 266-8."
125,"Milk, full-fat/whole ",,34,250,12,4,Canada,Dairy Products and Alternatives,1981,6,2h,6,Normal,"Jenkins DJA, Wolever TMS, Taylor RH, Barker H, Fielden H, Baldwin JM, Bowling AC, Newman HC, Jenkins AL, Goff DV. Glycemic index of foods: a physiological basis for carbohydrate exchange. Am J Clin Nutr 1981; 34: 362-6."
126,"Milk, full-fat/whole","Dairy Farmers Ltd, Sydney, Australia",31,250,12,4,Australia,Dairy Products and Alternatives,1995,2,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
127,"Milk, full-fat/whole, 3% fat","Skånemejerier, Malmö, Sweden",21,250,12,3,Sweden,Dairy Products and Alternatives,2001,,2h,10,Normal,"Östman EM, Liljeberg Elmståhl HGM, Björk IME. Inconsistency between glycemic and insulinemic responses to regular and fermented milk products. Am J Clin Nutr 2001; 74: 96-100."
128,"Milk, full-fat/whole, pasteurised, fresh, organic","Arla, UK",34,250,12,4,UK,Dairy Products and Alternatives,2005,6,2h,9,Normal," Henry CJK, Lightowler HJ, Strik CM, Renton H, Hails S. Glycaemic index and glycaemic load values of commercially available products in the UK. Br J Nutr 2005; 94: 922-30."
129,"Milk, full-fat/whole",,41,250,12,5,USA,Dairy Products and Alternatives,2005,2,2h,9,Normal,"Hoyt G, Hickey MS, Cordain L. Dissociation of the glycaemic and insulinaemic responses to whole and skimmed milk. Br J Nutr 2005; 93: 175-7."
130,"Milk, full-fat/whole, standardised homogenised, pasteurised, British","Dairycrest, UK",46,250,12,5,UK,Dairy Products and Alternatives,2005,10,2h,10,Normal," Henry CJK, Lightowler HJ, Strik CM, Renton H, Hails S. Glycaemic index and glycaemic load values of commercially available products in the UK. Br J Nutr 2005; 94: 922-30."
131,"Milk, full-fat/whole",,11,250,12,1,Italy,Dairy Products and Alternatives,1990,,2h,7,Normal,"Bucalossi A, Conti A, Lombardo S, Marsilii A, Petruzzi E, Piazza E, Pulini M. Glycaemic and insulinaemic responses to different carbohydrates in Type II (NIDD) diabetic patients. Diab Nutr Metab 1990; 3: 143-51."
132,"Milk, reduced fat (1.4%), Lite White™","Dairy Farmers Ltd, Australia",30,250,13,4,Australia,Dairy Products and Alternatives,2003,6,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
133,"Milk, semi-skimmed, British","Dairycrest, UK",25,250,13,3,UK,Dairy Products and Alternatives,2005,6,2h,8,Normal," Henry CJK, Lightowler HJ, Strik CM, Renton H, Hails S. Glycaemic index and glycaemic load values of commercially available products in the UK. Br J Nutr 2005; 94: 922-30."
134,"Milk, semi-skimmed, pasteurised, organic","Arla, UK",34,250,13,4,UK,Dairy Products and Alternatives,2005,8,2h,9,Normal," Henry CJK, Lightowler HJ, Strik CM, Renton H, Hails S. Glycaemic index and glycaemic load values of commercially available products in the UK. Br J Nutr 2005; 94: 922-30."
135,"Milk, reduced fat with added omega 3, Take Care™","Dairy Farmers Ltd, Australia",23,250,15,3,Australia,Dairy Products and Alternatives,2004,3,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
136,"Milk, reduced fat (98% fat free) with added omega 3, Farmers Best™","Dairy Farmers Ltd, Australia",27,250,16,4,Australia,Dairy Products and Alternatives,2004,6,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
137,"Milk, skim ",,32,250,13,4,Canada,Dairy Products and Alternatives,1981,5,2h,6,Normal,"Jenkins DJA, Wolever TMS, Taylor RH, Barker H, Fielden H, Baldwin JM, Bowling AC, Newman HC, Jenkins AL, Goff DV. Glycemic index of foods: a physiological basis for carbohydrate exchange. Am J Clin Nutr 1981; 34: 362-6."
138,"Milk, skim","Dairy Farmers Ltd, Australia",32,250,13,4,Australia,Dairy Products and Alternatives,2003,6,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
139,"Milk, skim ",,32,250,11,4,USA,Dairy Products and Alternatives,2001,,2h,10,Normal,"Liu S, Manson JE. Dietary carbohydrates, physical inactivity, obesity, and the 'metabolic syndrome' as predictors of coronary heart disease. Curr Opin Lipidol 2001; 12:395-404."
140,"Milk, skim",,37,250,13,5,USA,Dairy Products and Alternatives,2005,3,2h,8,Normal,"Hoyt G, Hickey MS, Cordain L. Dissociation of the glycaemic and insulinaemic responses to whole and skimmed milk. Br J Nutr 2005; 93: 175-7."
141,"Milk, skimmed, pasteurised, British","Dairycrest, UK",48,250,13,6,UK,Dairy Products and Alternatives,2005,15,2h,10,Normal," Henry CJK, Lightowler HJ, Strik CM, Renton H, Hails S. Glycaemic index and glycaemic load values of commercially available products in the UK. Br J Nutr 2005; 94: 922-30."
142,"Milk, skim, made from powder","Arla Foods, Sweden",27,250,11,3,Sweden,Dairy Products and Alternatives,2004,,2h,12,Normal,"Nilsson M, Stenberg M, Frid AH, Holst JJ, Björk IME. Glycaemia and insulinaemia in healthy subjects after lactose-equivalent meals of milk and other food proteins: the role of plasma amino acids and incretins.  Am J Clin Nutr 2004, 80: 1246-53."
143,"Shape™ milk, fat free","Dairy Farmers Ltd, Australia",34,250,17,6,Australia,Dairy Products and Alternatives,2003,3,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
144,"Pura™ HiLo milk, skim/low-fat","National Foods Ltd, Australia",20,250,14,3,Australia,Dairy Products and Alternatives,1995,5,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
145,"Pura™ Skimmer milk, skim/low-fat","National Foods Ltd, Australia",20,250,14,3,Australia,Dairy Products and Alternatives,1995,5,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
146,Pura™ Light Start milk,"National Foods Ltd, Australia",30,250,15,4,Australia,Dairy Products and Alternatives,1995,5,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
147,"Pura™ Tone milk, skim/low-fat","National Foods Ltd, Australia",30,250,16,5,Australia,Dairy Products and Alternatives,1995,5,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
148,"Milk, condensed, sweetened","Nestlé, Australia",61,100,54,33,Australia,Dairy Products and Alternatives,2001,6,2h,11,Normal,"Chan HMS, Brand-Miller JC, Holt SHA, Wilson D, Rozman M, Petocz P. The glycaemic index values of Vietnamese foods.  Euro J Clin Nutr 2001; 55: 1076-83."
149,"Fermented cow's milk (ropy milk, långfil, 3% fat)","Arla, Gävle, Sweden",11,0,0,0,Sweden,Dairy Products and Alternatives,2001,,2h,10,Normal,"Östman EM, Liljeberg Elmståhl HGM, Björk IME. Inconsistency between glycemic and insulinemic responses to regular and fermented milk products. Am J Clin Nutr 2001; 74: 96-100."
150,"Fermented cow's milk (filmjölk, 3% fat)","Skånemejerier, Malmö, Sweden",11,0,0,0,Sweden,Dairy Products and Alternatives,2001,,2h,10,Normal,"Östman EM, Liljeberg Elmståhl HGM, Björk IME. Inconsistency between glycemic and insulinemic responses to regular and fermented milk products. Am J Clin Nutr 2001; 74: 96-100."
151,"Milk, full-fat/whole consumed with 20 g wheat bran ",,28,250,12,3,Italy,Dairy Products and Alternatives,1990,,2h,7,Normal,"Bucalossi A, Conti A, Lombardo S, Marsilii A, Petruzzi E, Piazza E, Pulini M. Glycaemic and insulinaemic responses to different carbohydrates in Type II (NIDD) diabetic patients. Diab Nutr Metab 1990; 3: 143-51."
152,"Milk, full-fat/whole, banana, honey and malt flavored",,31,250,27,8,Australia,Dairy Products and Alternatives,1995,4,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
153,"Milk, full-fat, Masters® mocha flavored","National Foods Ltd, Australia",32,250,27,9,Australia,Dairy Products and Alternatives,1995,4,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
154,"Milk, reduced/low fat, Big M™, chocolate or strawberry flavored","National Foods Ltd, Australia",37,250,24,9,Australia,Dairy Products and Alternatives,1995,4,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
